Banana United   1 Durian Warriors 3
Papaya City     2 Rambutan Pool   0
Banana United   4 Papaya City     3
Durian Warriors 1 Rambutan Pool   0
Banana United   2 Rambutan Pool   2
Durian Warriors 5 Papaya City     3
Honeydew Villa  1 Mango Rangers   1
Real Avocado    2 Watermelon Ham  0
Honeydew Villa  1 Real Avocado    3
Mango Rangers   0 Watermelon Ham  0
Honeydew Villa  1 Watermelon Ham  0
Real Avocado    3 Mango Rangers   2
Banana United   1 Honeydew Villa  1
Durian Warriors 3 Mango Rangers   0
Banana United   0 Mango Rangers   1
Durian Warriors 1 Honeydew Villa  2
Papaya City     4 Honeydew Villa  3
Papaya City     3 Mango Rangers   4
Banana United   1 Real Avocado    3
Durian Warriors 2 Watermelon Ham  0
Banana United   1 Watermelon Ham  1
Durian Warriors 3 Real Avocado    0
Papaya City     2 Real Avocado    2
Rambutan Pool   0 Watermelon Ham  1
Papaya City     4 Watermelon Ham  2
Rambutan Pool   2 Real Avocado    0
Mango Rangers   2 Rambutan Pool   3
Rambutan Pool   1 Honeydew Villa  2
